LetterboxdURI,Title,Year,Rating10
https://letterboxd.com/film/10-things-i-hate-about-you/,10 Things I Hate About You,1999,
https://letterboxd.com/film/1917/,1917,2019,
https://letterboxd.com/film/20th-century-girl/,20th Century Girl,2022,10
https://letterboxd.com/film/a-guilty-conscience/,A Guilty Conscience,2023,
https://letterboxd.com/film/a-million-miles-away-2023/,A Million Miles Away,2023,
https://letterboxd.com/film/a-walk-to-remember/,A Walk to Remember,2002,
https://letterboxd.com/film/ad-astra-2019/,Ad Astra,2019,
https://letterboxd.com/film/allegiant/,Allegiant,2016,
https://letterboxd.com/film/blackkklansman/,BlacKkKlansman,2018,
https://letterboxd.com/film/cant-help-falling-in-love/,Can't Help Falling in Love,2017,5
https://letterboxd.com/film/fantastic-beasts-the-crimes-of-grindelwald/,Crimes of Grindelwald,2018,
https://letterboxd.com/film/devotion-2022/,Devotion,2022,
https://letterboxd.com/film/divergent/,Divergent,2014,
https://letterboxd.com/film/do-revenge/,Do Revenge,2022,
https://letterboxd.com/film/doctor-strange-in-the-multiverse-of-madness/,Doctor Strange in the Multiverse of Madness,2022,
https://letterboxd.com/film/so-close-yet-so-far/,"Drama Special Season 9: So Close, Yet So Far",2018,7
https://letterboxd.com/film/dream-2023/,Dream,2023,6
https://letterboxd.com/film/edge-of-tomorrow/,Edge of Tomorrow,2014,8
https://letterboxd.com/film/enola-holmes-2/,Enola Holmes 2,2022,
https://letterboxd.com/film/extraction-2020/,Extraction,2020,
https://letterboxd.com/film/f1/,F1,2025,7
https://letterboxd.com/film/fantastic-beasts-the-secrets-of-dumbledore/,Fantastic Beasts: The Secrets of Dumbledore,2022,
https://letterboxd.com/film/flipped/,Flipped,2010,
https://letterboxd.com/film/ford-v-ferrari/,Ford v Ferrari,2019,
https://letterboxd.com/film/friends-with-benefits/,Friends with Benefits,2011,
https://letterboxd.com/film/ghosted-2023/,Ghosted,2023,
https://letterboxd.com/film/good-will-hunting/,Good Will Hunting,1997,
https://letterboxd.com/film/gran-torino/,Gran Torino,2008,
https://letterboxd.com/film/grosse-pointe-blank/,Grosse Pointe Blank,1997,
https://letterboxd.com/film/hacksaw-ridge/,Hacksaw Ridge,2016,9
https://letterboxd.com/film/hear-me-our-summer/,Hear Me: Our Summer,2024,
https://letterboxd.com/film/how-to-lose-a-guy-in-10-days/,How to Lose a Guy in 10 Days,2003,
https://letterboxd.com/film/hunger-2023/,Hunger,2023,8
https://letterboxd.com/film/insurgent/,Insurgent,2015,
https://letterboxd.com/film/jojo-rabbit/,Jojo Rabbit,2019,
https://letterboxd.com/film/joker-2019/,Joker,2019,
https://letterboxd.com/film/just-the-way-you-are-2015-2/,Just the Way You Are,2015,5
https://letterboxd.com/film/kill-boksoon/,Kill Bok Soon,2023,
https://letterboxd.com/film/little-women-2019/,Little Women,2019,
https://letterboxd.com/film/love-other-drugs/,Love and Other Drugs,2010,
https://letterboxd.com/film/love-in-taipei/,Love in Taipei,2023,
https://letterboxd.com/film/love-rosie/,"Love, Rosie",2014,
https://letterboxd.com/film/mcfarland-usa/,"McFarland, U.S.A.",2015,
https://letterboxd.com/film/mission-impossible-the-final-reckoning/,Mission: Impossible – The Final Reckoning,2025,8
https://letterboxd.com/film/mrs-harris-goes-to-paris/,Mrs. Harris Goes to Paris,2022,
https://letterboxd.com/film/no-strings-attached/,No Strings Attached,2011,
https://letterboxd.com/film/one-day-2011/,One Day,2011,
https://letterboxd.com/film/oppenheimer-2023/,Oppenheimer,2023,
https://letterboxd.com/film/pride-prejudice/,Pride and Prejudice,2005,
https://letterboxd.com/film/shang-chi-and-the-legend-of-the-ten-rings/,Shang-Chi and the Legend of the Ten Rings,2021,
https://letterboxd.com/film/shooting-stars-2023/,Shooting Stars,2023,
https://letterboxd.com/film/spider-man-across-the-spider-verse/,Spider-Man: Across the Spider-Verse,2023,
https://letterboxd.com/film/star-wars/,Star Wars (theatrical cut),1977,
https://letterboxd.com/film/the-batman/,The Batman,2022,
https://letterboxd.com/film/the-edge-of-seventeen/,The Edge of Seventeen,2016,
https://letterboxd.com/film/the-half-of-it/,The Half of It,2020,
https://letterboxd.com/film/the-irishman-2019/,The Irishman,2019,
https://letterboxd.com/film/the-king-of-staten-island/,The King of Staten Island,2020,
https://letterboxd.com/film/the-kings-man/,The King's Man,2021,
https://letterboxd.com/film/the-lunchbox/,The Lunchbox,2013,10
https://letterboxd.com/film/the-notebook/,The Notebook,2004,
https://letterboxd.com/film/the-perfect-date-2019/,The Perfect Date,2019,
https://letterboxd.com/film/the-proposal-2009/,The Proposal,2009,
https://letterboxd.com/film/the-pursuit-of-happyness/,The Pursuit of Happyness,2006,
https://letterboxd.com/film/the-spectacular-now/,The Spectacular Now,2013,
https://letterboxd.com/film/the-storied-life-of-aj-fikry/,The Storied Life of A.J. Fikry,2022,
https://letterboxd.com/film/the-ugly-truth/,The Ugly Truth,2009,
https://letterboxd.com/film/the-upside/,The Upside,2017,
https://letterboxd.com/film/the-way-back-2020/,The Way Back,2020,8
https://letterboxd.com/film/thor-love-and-thunder/,Thor: Love and Thunder,2022,
